"API.Name","vCPUs","Memory.GiB","Network.Gbit","OD.costs.hourly","RI.costs.hourly.shared.convertible.1year.AllUpfront","RI.costs.hourly.shared.standard.1year.AllUpfront","RI.costs.hourly.shared.convertible.1year.NoUpfront","RI.costs.hourly.shared.standard.1year.NoUpfront","RI.costs.hourly.shared.convertible.1year.PartialUpfront","RI.costs.hourly.shared.standard.1year.PartialUpfront","RI.costs.hourly.shared.convertible.3year.AllUpfront","RI.costs.hourly.shared.standard.3year.AllUpfront","RI.costs.hourly.shared.convertible.3year.NoUpfront","RI.costs.hourly.shared.standard.3year.NoUpfront","RI.costs.hourly.shared.convertible.3year.PartialUpfront","RI.costs.hourly.shared.standard.3year.PartialUpfront","SP.costs.hourly.shared.Compute.3year.PartialUpfront","SP.costs.hourly.shared.Compute.1year.AllUpfront","SP.costs.hourly.shared.Compute.1year.NoUpfront","SP.costs.hourly.shared.Compute.1year.PartialUpfront","SP.costs.hourly.shared.Compute.3year.AllUpfront","SP.costs.hourly.shared.Compute.3year.NoUpfront","SP.costs.hourly.shared.EC2Instance.1year.AllUpfront","SP.costs.hourly.shared.EC2Instance.1year.NoUpfront","SP.costs.hourly.shared.EC2Instance.3year.NoUpfront","SP.costs.hourly.shared.EC2Instance.3year.PartialUpfront","SP.costs.hourly.shared.EC2Instance.1year.PartialUpfront","SP.costs.hourly.shared.EC2Instance.3year.AllUpfront","Spot.costs.hourly","Interruption.Freq"
"a1.2xlarge",8,16,"Up to 10 Gigabit",0.204,0.137899543378995,0.119977168949772,0.1478,0.1285,0.140833789954338,0.122387214611872,0.0919710806697108,0.0767123287671233,0.1013,0.0881,0.0938178082191781,0.0815914764079148,0.0938,0.1379,0.1478,0.1408,0.092,0.1013,0.12,0.1285,0.0881,0.0816,0.1224,0.0767,0.18274168618267,0.0003125
"a1.4xlarge",16,32,"Up to 10 Gigabit",0.408,0.275913242009132,0.239954337899543,0.2956,0.257,0.281553424657534,0.244774429223744,0.183942161339422,0.153424657534247,0.2027,0.1763,0.187635616438356,0.16318295281583,0.1877,0.2759,0.2956,0.2815,0.1839,0.2027,0.2399,0.257,0.1763,0.1632,0.2448,0.1534,0.403423587223587,0.0003125
"a1.large",2,4,"Up to 10 Gigabit",0.051,0.0344748858447489,0.0300228310502283,0.0369,0.0321,0.0351799086757991,0.030596803652968,0.0229832572298326,0.0191780821917808,0.0253,0.022,0.0234199391171994,0.0203978691019787,0.0235,0.0345,0.0369,0.0352,0.023,0.0253,0.03,0.0321,0.022,0.0204,0.0306,0.0192,0.0504408450704225,0.0003125
"a1.medium",1,2,"Up to 10 Gigabit",0.0255,0.0172374429223744,0.0149543378995434,0.0185,0.0161,0.0175899543378995,0.015348401826484,0.0114916286149163,0.00958904109589041,0.0127,0.011,0.0117599695585997,0.0101989345509893,0.0117,0.0172,0.0185,0.0176,0.0115,0.0127,0.015,0.0161,0.011,0.0102,0.0153,0.0096,0.0244655072463768,0.0003125
"a1.metal",16,32,"Up to 10 Gigabit",0.408,0.275913242009132,0.239954337899543,0.296,0.257,0.281753424657534,0.244374429223744,0.183942161339422,0.153424657534247,0.203,0.176,0.187835616438356,0.16358295281583,0.188,0.276,0.296,0.282,0.184,0.203,0.24,0.257,0.176,0.163,0.245,0.153,0.388506585365854,0.000173611111111111
"a1.xlarge",4,8,"Up to 10 Gigabit",0.102,0.0689497716894977,0.0599315068493151,0.0739,0.0643,0.0703598173515982,0.0611936073059361,0.0459665144596651,0.0383561643835616,0.0507,0.0441,0.0469779299847793,0.0407957382039574,0.0469,0.069,0.0739,0.0704,0.046,0.0507,0.06,0.0643,0.0441,0.0408,0.0612,0.0384,0.100943315508021,0.0003125
"c4.2xlarge",8,15,"High",0.398,0.270433789954338,0.237214611872146,0.29,0.252,0.276013698630137,0.242004566210046,0.184817351598174,0.155098934550989,0.204,0.177,0.188292237442922,0.164496194824962,0.188,0.27,0.29,0.276,0.185,0.204,0.237,0.252,0.177,0.164,0.242,0.155,0.290328156748911,0.000173611111111111
"c4.4xlarge",16,30,"High",0.796,0.540981735159817,0.473287671232877,0.58,0.504,0.552027397260274,0.483552511415525,0.369672754946728,0.310197869101979,0.407,0.354,0.377584474885845,0.329992389649924,0.378,0.541,0.58,0.552,0.37,0.407,0.473,0.504,0.354,0.33,0.484,0.31,0.529145165945166,0.000243055555555556
"c4.8xlarge",36,60,"10 Gigabit",1.591,1.08196347031963,0.946689497716895,1.159,1.008,1.10405479452055,0.965990867579909,0.739307458143075,0.62134703196347,0.815,0.708,0.75420700152207,0.660517503805175,0.754,1.082,1.159,1.104,0.739,0.815,0.947,1.008,0.708,0.661,0.966,0.621,1.01344577464789,0.000104166666666667
"c4.large",2,3.75,"Moderate",0.1,0.0675799086757991,0.0587899543378995,0.072,0.063,0.0694748858447489,0.0600228310502283,0.0461948249619483,0.0385464231354642,0.051,0.044,0.0475920852359209,0.0415098934550989,0.048,0.068,0.072,0.069,0.046,0.051,0.059,0.063,0.044,0.042,0.06,0.039,0.0665046391752577,3.47222222222222e-05
