"API.Name","vCPUs","Memory.GiB","Network.Gbit","OD.costs","Spot.costs","RI.costs.shared.Standard.1year.NoUpfront","RI.costs.shared.Standard.1year.PartialUpfront","RI.costs.shared.Standard.1year.AllUpfront","RI.costs.shared.Standard.3year.NoUpfront","RI.costs.shared.Standard.3year.PartialUpfront","RI.costs.shared.Standard.3year.AllUpfront","RI.costs.shared.Convertible.1year.NoUpfront","RI.costs.shared.Convertible.1year.PartialUpfront","RI.costs.shared.Convertible.1year.AllUpfront","RI.costs.shared.Convertible.3year.NoUpfront","RI.costs.shared.Convertible.3year.PartialUpfront","RI.costs.shared.Convertible.3year.AllUpfront","SP.costs.shared.Compute.1year.NoUpfront","SP.costs.shared.Compute.1year.PartialUpfront","SP.costs.shared.Compute.1year.AllUpfront","SP.costs.shared.Compute.3year.NoUpfront","SP.costs.shared.Compute.3year.PartialUpfront","SP.costs.shared.Compute.3year.AllUpfront","SP.costs.shared.EC2Instance.1year.NoUpfront","SP.costs.shared.EC2Instance.1year.PartialUpfront","SP.costs.shared.EC2Instance.1year.AllUpfront","SP.costs.shared.EC2Instance.3year.NoUpfront","SP.costs.shared.EC2Instance.3year.PartialUpfront","SP.costs.shared.EC2Instance.3year.AllUpfront"
"a1.2xlarge",8,16,10,0.204,0.0674,0.1285,0.1224,0.12,0.0881,0.0816,0.0767,0.1478,0.1408,0.1379,0.1013,0.0938,0.092,0.1478,0.1408,0.1379,0.1013,0.0938,0.092,0.1285,0.1224,0.12,0.0881,0.0816,0.0767
"a1.4xlarge",16,32,10,0.408,0.2017,0.257,0.2448,0.24,0.1763,0.1632,0.1534,0.2956,0.2816,0.2759,0.2027,0.1876,0.1839,0.2956,0.2815,0.2759,0.2027,0.1877,0.1839,0.257,0.2448,0.2399,0.1763,0.1632,0.1534
"a1.large",2,4,10,0.051,0.0224,0.0321,0.0306,0.03,0.022,0.0204,0.0192,0.0369,0.0352,0.0345,0.0253,0.0234,0.023,0.0369,0.0352,0.0345,0.0253,0.0235,0.023,0.0321,0.0306,0.03,0.022,0.0204,0.0192
"a1.medium",1,2,10,0.0255,0.0079,0.0161,0.0153,0.015,0.011,0.0102,0.0096,0.0185,0.0176,0.0172,0.0127,0.0118,0.0115,0.0185,0.0176,0.0172,0.0127,0.0117,0.0115,0.0161,0.0153,0.015,0.011,0.0102,0.0096
"a1.metal",16,32,10,0.408,0.3126,0.257,0.2444,0.24,0.176,0.1636,0.1534,0.296,0.2818,0.2759,0.203,0.1878,0.1839,0.296,0.282,0.276,0.203,0.188,0.184,0.257,0.245,0.24,0.176,0.163,0.153
"a1.xlarge",4,8,10,0.102,0.0365,0.0643,0.0612,0.0599,0.0441,0.0408,0.0384,0.0739,0.0704,0.0689,0.0507,0.047,0.046,0.0739,0.0704,0.069,0.0507,0.0469,0.046,0.0643,0.0612,0.06,0.0441,0.0408,0.0384
"c4.8xlarge",36,60,10,1.591,0.3846,1.008,0.966,0.9467,0.708,0.6605,0.6213,1.159,1.1041,1.082,0.815,0.7542,0.7393,1.159,1.104,1.082,0.815,0.754,0.739,1.008,0.966,0.947,0.708,0.661,0.621
"c5.12xlarge",48,96,12,2.04,0.6476,1.285,1.224,1.1995,0.855,0.7918,0.744,1.478,1.4078,1.3795,0.985,0.9119,0.8936,1.478,1.408,1.379,0.985,0.912,0.894,1.285,1.224,1.2,0.855,0.792,0.744
"c5.18xlarge",72,144,25,3.06,0.6841,1.928,1.836,1.7993,1.268,1.1742,1.104,2.233,2.1275,2.0845,1.459,1.3503,1.3237,2.217,2.111,2.069,1.477,1.368,1.34,1.928,1.836,1.799,1.282,1.187,1.116
"c5.24xlarge",96,192,25,4.08,0.9122,2.57,2.448,2.3991,1.71,1.5835,1.4881,2.956,2.8156,2.7589,1.97,1.8239,1.7873,2.956,2.815,2.759,1.97,1.824,1.787,2.57,2.448,2.399,1.71,1.583,1.488
