Instance Type,Region,vCpus,Memory,Network,Hourly Price
m5d.12xlarge,US East (N. Virginia),48,192 GiB,10 Gigabit,2.7120000000
dl1.24xlarge,US East (N. Virginia),96,768 GiB,400 Gigabit,0.0000000000
r6g.medium,US East (N. Virginia),1,8 GiB,Up to 10 Gigabit,0.0504000000
r6g.12xlarge,US East (N. Virginia),48,384 GiB,20 Gigabit,0.0000000000
a1.metal,US East (N. Virginia),16,32 GiB,Up to 10 Gigabit,0.4080000000
t4g.micro,US East (N. Virginia),2,1 GiB,Up to 5 Gigabit,0.0000000000
c6gn.8xlarge,US East (N. Virginia),32,64 GiB,50 Gigabit,1.3824000000
g3.16xlarge,US East (N. Virginia),64,488 GiB,20 Gigabit,0.0000000000
g5.4xlarge,US East (N. Virginia),16,64 GiB,Up to 25 Gigabit,1.6240000000
g4dn.8xlarge,US East (N. Virginia),32,128 GiB,50 Gigabit,2.1760000000
m5d.2xlarge,US East (N. Virginia),8,32 GiB,Up to 10 Gigabit,0.4520000000
x1.16xlarge,US East (N. Virginia),64,976 GiB,High,6.6690000000
r5a.8xlarge,US East (N. Virginia),32,256 GiB,Up to 10 Gigabit,1.8080000000
c6gn.12xlarge,US East (N. Virginia),48,96 GiB,75 Gigabit,0.0000000000
c6id.32xlarge,US East (N. Virginia),128,256 GiB,50000 Megabit,6.4512000000
c5n.xlarge,US East (N. Virginia),4,10.5 GiB,Up to 25 Gigabit,0.2160000000
inf2.8xlarge,US East (N. Virginia),32,128 GiB,Up to 25 Gigabit,1.9678600000
x2iezn.metal,US East (N. Virginia),48,1536 GiB,100 Gigabit,10.0080000000
m5a.12xlarge,US East (N. Virginia),48,192 GiB,10 Gigabit,2.0640000000
m5a.4xlarge,US East (N. Virginia),16,64 GiB,Up to 10 Gigabit,0.0000000000
m6g.medium,US East (N. Virginia),1,4 GiB,Up to 10 Gigabit,0.0000000000
m5n.xlarge,US East (N. Virginia),4,16 GiB,Up to 25 Gigabit,0.0000000000
m6in.xlarge,US East (N. Virginia),4,16 GiB,Up to 30000 Megabit,0.2784600000
m3.xlarge,US East (N. Virginia),4,15 GiB,High,0.2660000000
g5.8xlarge,US East (N. Virginia),32,128 GiB,25 Gigabit,0.0000000000
i3en.12xlarge,US East (N. Virginia),48,384 GiB,50 Gigabit,0.0000000000
c7g.large,US East (N. Virginia),2,4 GiB,Up to 12500 Megabit,0.0725000000
r6idn.24xlarge,US East (N. Virginia),96,768 GiB,150000 Megabit,9.3787200000
r7g.metal,US East (N. Virginia),64,512 GiB,30 Gigabit,3.4272000000
im4gn.2xlarge,US East (N. Virginia),8,32 GiB,Up to 25 Gigabit,0.0000000000
r5n.metal,US East (N. Virginia),96,768 GiB,100 Gigabit,7.1520000000
m5d.2xlarge,US East (N. Virginia),8,32 GiB,Up to 10 Gigabit,0.0000000000
r6a.metal,US East (N. Virginia),192,1536 GiB,50000 Megabit,10.8864000000
m1.small,US East (N. Virginia),1,1.7 GiB,Low,0.0440000000
a1.xlarge,US East (N. Virginia),4,8 GiB,Up to 10 Gigabit,0.0000000000
r5b.8xlarge,US East (N. Virginia),32,256 GiB,10 Gigabit,0.0000000000
c6in.xlarge,US East (N. Virginia),4,8 GiB,Up to 30000 Megabit,0.2268000000
c6in.24xlarge,US East (N. Virginia),96,192 GiB,150000 Megabit,5.4432000000
c6g.16xlarge,US East (N. Virginia),64,128 GiB,25 Gigabit,0.0000000000
