AvailabilityZone,Duration,FixedPrice,InstanceType,ProductDescription,ReservedInstancesOfferingId,UsagePrice,CurrencyCode,InstanceTenancy,Marketplace,OfferingClass,OfferingType,PricingDetails,RecurringCharges,Scope
us-east-1a,31536000,206.0,m1.small,Linux/UNIX,d44920f4-27b2-4b29-831f-a29a74a0c6d1,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,399.0,m1.small,Linux/UNIX,f6017c7b-b5b9-47f4-b763-f131fc173751,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,0.0,m1.small,Linux/UNIX,44884a25-640f-48e0-9527-eedcfdc5089c,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.028, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,123.0,m1.small,Linux/UNIX,9d0e27bc-ee3b-415d-8f29-de4bbc5fd58f,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.01, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,188.0,m1.small,Linux/UNIX,afc40832-e5aa-47d3-893e-da1e8adcbea6,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.009, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,1051.0,a1.2xlarge,Linux/UNIX,a73a5911-eaeb-454d-ba9f-734ddc120751,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,1208.0,a1.2xlarge,Linux/UNIX,60ec7704-ca7e-44b5-b053-cca7a0e64f97,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,2016.0,a1.2xlarge,Linux/UNIX,bda8df26-eda1-46d9-80ef-023f0019c879,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,2417.0,a1.2xlarge,Linux/UNIX,8c737171-fb58-45ef-9065-c3038c4298c6,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,0.0,a1.2xlarge,Linux/UNIX,81eb0d3d-437d-414a-8aea-3fc75a862ea8,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.1285, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,0.0,a1.2xlarge,Linux/UNIX,30c60935-b8a7-4c04-8d72-4f092b037981,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.1478, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,0.0,a1.2xlarge,Linux/UNIX,e36e016a-e85c-47e9-ba8b-f76ae17f8d2f,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.0881, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,0.0,a1.2xlarge,Linux/UNIX,a5a70d63-8e45-421c-a36e-426ba0ac9daf,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.1013, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,536.0,a1.2xlarge,Linux/UNIX,8f96a89f-ad80-4aee-a155-895bcf9acbc3,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0612, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,617.0,a1.2xlarge,Linux/UNIX,895d6bd6-457a-4f21-ae0a-473152bfd323,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.0704, 'Frequency': 'Hourly'}]",Availability Zone
