AvailabilityZone,Duration,FixedPrice,InstanceType,ProductDescription,ReservedInstancesOfferingId,UsagePrice,CurrencyCode,InstanceTenancy,Marketplace,OfferingClass,OfferingType,PricingDetails,RecurringCharges,Scope
us-east-1b,31536000,206.0,m1.small,Linux/UNIX,7074a3f0-8041-4164-9974-c41cc5a3f540,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,399.0,m1.small,Linux/UNIX,ab9639b0-abab-4720-9443-c54ea59e7a2e,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,0.0,m1.small,Linux/UNIX,5fcb01d4-30ca-42dd-baa6-cec5df621c1a,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.028, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,123.0,m1.small,Linux/UNIX,2c929e51-fd1d-40d6-a8dc-693d507729c4,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.01, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,188.0,m1.small,Linux/UNIX,483b1b9c-de5f-4023-9610-24860f9fcbe8,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.009, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,1051.0,a1.2xlarge,Linux/UNIX,15d88b11-cb51-476f-bccf-b77f543a2913,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,2016.0,a1.2xlarge,Linux/UNIX,832072b9-6b91-4cb9-b535-8a83a5e4d4ee,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,0.0,a1.2xlarge,Linux/UNIX,4740d67c-e511-420f-81b5-83e4800f9684,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.1285, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,0.0,a1.2xlarge,Linux/UNIX,8b2efd9b-c342-415e-9349-14adcaa41011,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.0881, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,536.0,a1.2xlarge,Linux/UNIX,3fdb72a1-06cc-47f9-b13d-b9b21bbb29f5,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0612, 'Frequency': 'Hourly'}]",Availability Zone
