AvailabilityZone,Duration,FixedPrice,InstanceType,ProductDescription,ReservedInstancesOfferingId,UsagePrice,CurrencyCode,InstanceTenancy,Marketplace,OfferingClass,OfferingType,PricingDetails,RecurringCharges,Scope
us-east-1c,31536000,206.0,m1.small,Linux/UNIX,783671aa-e8e8-45d2-bcab-b3fa9954e567,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,399.0,m1.small,Linux/UNIX,cad4eeb5-e171-439f-89ec-86f9b1a7bf01,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,m1.small,Linux/UNIX,f55f38d5-b057-448f-ba52-e4e5356916be,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.028, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,123.0,m1.small,Linux/UNIX,1a1786e3-3169-45f9-a794-c87a7ddbcf6e,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.01, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,188.0,m1.small,Linux/UNIX,4ab61d6d-4595-4079-939e-869cc0f57dd5,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.009, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,1051.0,a1.2xlarge,Linux/UNIX,a9d9da77-9107-4df8-8568-71c6707d54d9,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,1208.0,a1.2xlarge,Linux/UNIX,acb14184-6d0c-477e-b69d-563d4800fc00,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,2016.0,a1.2xlarge,Linux/UNIX,c7b13bb5-4749-47e4-ada3-51b5d273573a,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,2417.0,a1.2xlarge,Linux/UNIX,bfc7f433-177a-4915-813a-569abff0b28f,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,a1.2xlarge,Linux/UNIX,e2d4ba75-5e0b-4c3d-94d9-b12dfc252c09,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.1285, 'Frequency': 'Hourly'}]",Availability Zone
