"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0042 hourly","$0.0029 hourly","$0.0020 hourly","unavailable","unavailable"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0047 hourly","$0.0032 hourly","$0.0026 hourly","$0.0093 hourly","$0.0078 hourly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0052 hourly","$0.0035 hourly","$0.0025 hourly","$0.0098 hourly","$0.0081 hourly"
"T2 Nano","t2.nano","0.5 GiB","1 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Low to Moderate","$0.0058 hourly","$0.0039 hourly","unavailable","$0.0081 hourly","$0.0062 hourly"
"T4G Micro","t4g.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0084 hourly","$0.0057 hourly","$0.0045 hourly","unavailable","unavailable"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0094 hourly","$0.0063 hourly","$0.0052 hourly","$0.0186 hourly","$0.0155 hourly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0104 hourly","$0.0070 hourly","$0.0050 hourly","$0.0196 hourly","$0.0162 hourly"
"T2 Micro","t2.micro","1.0 GiB","1 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Low to Moderate","$0.0116 hourly","$0.0078 hourly","$0.0044 hourly","$0.0162 hourly","$0.0123 hourly"
"T4G Small","t4g.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0168 hourly","$0.0113 hourly","$0.0082 hourly","unavailable","unavailable"
"T3A Small","t3a.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0188 hourly","$0.0127 hourly","$0.0110 hourly","$0.0372 hourly","$0.0311 hourly"
"T3 Small","t3.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0208 hourly","$0.0140 hourly","$0.0108 hourly","$0.0392 hourly","$0.0324 hourly"
