interruptionFrequency,savingsOverOnDemand,instanceType
<5%,83,r5.large
5-10%,78,c5ad.large
10-15%,78,r6g.8xlarge
<5%,70,i3en.xlarge
5-10%,70,is4gen.2xlarge
10-15%,81,m5d.16xlarge
>20%,76,c6i.24xlarge
<5%,77,c6gn.2xlarge
10-15%,84,r5ad.16xlarge
<5%,78,c5d.2xlarge
<5%,77,c5.xlarge
>20%,70,x1e.8xlarge
<5%,70,t2.2xlarge
15-20%,86,r5b.24xlarge
15-20%,77,r5a.24xlarge
10-15%,78,r5.8xlarge
<5%,85,r4.large
5-10%,84,r5ad.8xlarge
<5%,78,m6i.2xlarge
<5%,75,c5a.xlarge
>20%,70,g3.4xlarge
<5%,78,m6i.large
5-10%,58,r5.16xlarge
5-10%,87,r5dn.4xlarge
<5%,78,c5.4xlarge
10-15%,77,r5d.16xlarge
10-15%,79,m5.12xlarge
>20%,68,g4dn.12xlarge
10-15%,81,a1.metal
<5%,78,c5ad.8xlarge
<5%,77,c5.metal
>20%,70,i3.large
<5%,77,c6gn.12xlarge
5-10%,70,x2gd.2xlarge
10-15%,81,m4.16xlarge
5-10%,71,c6g.medium
>20%,70,g4dn.xlarge
>20%,80,c5d.12xlarge
10-15%,70,x2iedn.32xlarge
<5%,88,m5zn.large
5-10%,74,c6gd.8xlarge
<5%,75,c5a.24xlarge
5-10%,70,i4i.8xlarge
10-15%,70,x2iedn.8xlarge
5-10%,81,m5ad.16xlarge
>20%,70,g3.16xlarge
<5%,70,t2.xlarge
5-10%,70,is4gen.large
>20%,70,z1d.xlarge
<5%,82,r5.4xlarge
<5%,70,t3.2xlarge
5-10%,81,r6gd.large
<5%,83,m5n.large
5-10%,77,m6gd.2xlarge
10-15%,70,i4i.32xlarge
5-10%,70,i4i.2xlarge
<5%,75,c5.large
<5%,77,c6i.4xlarge
15-20%,79,r5.12xlarge
<5%,78,m6i.24xlarge
<5%,70,t3.xlarge
5-10%,82,r5a.xlarge
10-15%,88,m5zn.6xlarge
