"Name","Memory","vCPUs","CPU Type","GPU Number","GPU Type","Premium Storage support","Premium Storage Caching support","Live migration support","VM generation support","Maximum Local Disks","Maximum Data Disks","Disk IOPS","Maximum Network Interface","Temporary Storage (Gb)","Expected network bandwidth (Mbps)","Low Priority cost","1 year reserved cost","3 year reserved cost","Linux Pay As You Go cost","Windows Pay As You Go cost"
"A0","","","","","","False","False","False","","","","","","","","Unavailable","Unavailable","Unavailable","0.02 hourly","0.02 hourly"
"A1","1.75 Gib","1","Unknown","0","","False","False","False","Unknown","70","2","0","2","70","500","Unavailable","Unavailable","Unavailable","0.06 hourly","0.09 hourly"
"A1 v2","2 Gib","1","Unknown","0","","False","False","False","Unknown","10 GB","0","0","0","10 GB","Moderate","Unavailable","Unavailable","Unavailable","0.043 hourly","0.065 hourly"
"A2","3.5 Gib","2","Unknown","0","","False","False","False","Unknown","135","4","0","2","135","500","Unavailable","Unavailable","Unavailable","0.12 hourly","0.18 hourly"
"A2 v2","4 Gib","2","Unknown","0","","False","False","False","Unknown","20 GB","0","0","0","20 GB","Moderate","Unavailable","Unavailable","Unavailable","0.091 hourly","0.136 hourly"
"A2m v2","16 Gib","2","Unknown","0","","False","False","False","Unknown","20 GB","0","0","0","20 GB","Moderate","Unavailable","Unavailable","Unavailable","0.119 hourly","0.18 hourly"
"A3","7 Gib","4","Unknown","0","","False","False","False","Unknown","285","8","0","2","285","1000","Unavailable","Unavailable","Unavailable","0.24 hourly","0.36 hourly"
"A4","14 Gib","8","Unknown","0","","False","False","False","Unknown","605","16","0","4","605","2000","Unavailable","Unavailable","Unavailable","0.48 hourly","0.72 hourly"
"A4 v2","8 Gib","4","Unknown","0","","False","False","False","Unknown","40 GB","0","0","0","40 GB","High","Unavailable","Unavailable","Unavailable","0.191 hourly","0.286 hourly"
"A4m v2","32 Gib","4","Unknown","0","","False","False","False","Unknown","40 GB","0","0","0","40 GB","High","Unavailable","Unavailable","Unavailable","0.238 hourly","0.36 hourly"
"A5","14 Gib","2","Unknown","0","","False","False","False","Unknown","135","4","0","2","135","500","Unavailable","Unavailable","Unavailable","0.25 hourly","0.33 hourly"
"A6","28 Gib","4","Unknown","0","","False","False","False","Unknown","285","8","0","2","285","1000","Unavailable","Unavailable","Unavailable","0.5 hourly","0.66 hourly"
"A7","56 Gib","8","Unknown","0","","False","False","False","Unknown","605","16","0","4","605","2000","Unavailable","Unavailable","Unavailable","1. hourly","1.32 hourly"
"A8 v2","16 Gib","8","Unknown","0","","False","False","False","Unknown","80 GB","0","0","0","80 GB","High","Unavailable","Unavailable","Unavailable","0.4 hourly","0.6 hourly"
"A8m v2","64 Gib","8","Unknown","0","","False","False","False","Unknown","80 GB","0","0","0","80 GB","High","Unavailable","Unavailable","Unavailable","0.475 hourly","0.72 hourly"
"B12ms","48 Gib","12","N/A","0","","True","False","True","Generation 1 and 2","96","16","4320/50","6","96","","Unavailable","0.29212 hourly","0.18767 hourly","0.499 hourly","0.547 hourly"
"B16ms","64 Gib","16","N/A","0","","True","False","True","Generation 1 and 2","128","32","4320/50","8","128","","Unavailable","0.3895 hourly","0.25023 hourly","0.666 hourly","0.73 hourly"
"B1ls","0.5 Gib","1","N/A","0","","True","False","True","Generation 1 and 2","4","2","160/10","2","4","","Unavailable","0.00308 hourly","0.00194 hourly","0.0052 hourly","Unavailable"
"B1ms","2 Gib","1","N/A","0","","True","False","True","Generation 1 and 2","4","2","640/10","2","4","","Unavailable","0.01221 hourly","0.00784 hourly","0.0207 hourly","0.0246 hourly"
"B1s","1 Gib","1","N/A","0","","True","False","True","Generation 1 and 2","4","2","320/10","2","4","","Unavailable","0.00605 hourly","0.00392 hourly","0.0104 hourly","0.014 hourly"
"B20ms","80 Gib","20","N/A","0","","True","False","True","Generation 1 and 2","160","32","4320/50","8","160","","Unavailable","0.48687 hourly","0.31279 hourly","0.832 hourly","0.912 hourly"
"B2ms","8 Gib","2","N/A","0","","True","False","True","Generation 1 and 2","16","4","1920/22.5","3","16","","Unavailable","0.04863 hourly","0.03128 hourly","0.0832 hourly","0.0912 hourly"
"B2s","4 Gib","2","N/A","0","","True","False","True","Generation 1 and 2","8","4","1280/15","3","8","","Unavailable","0.02432 hourly","0.01564 hourly","0.0416 hourly","0.0496 hourly"
"B4ms","16 Gib","4","N/A","0","","True","False","True","Generation 1 and 2","32","8","2880/35","4","32","","Unavailable","0.09737 hourly","0.06256 hourly","0.166 hourly","0.182 hourly"
"B8ms","32 Gib","8","N/A","0","","True","False","True","Generation 1 and 2","64","16","4320/50","4","64","","Unavailable","0.19475 hourly","0.12511 hourly","0.333 hourly","0.365 hourly"
"D1","3.5 Gib","1","Intel Xeon E5-2660 v2 (2.2GHz), Intel Xeon E5-2673 v3 2.4GHz (Haswell), Intel Xeon E5-2673 v4 2.3GHz (Broadwell)","0","","False","False","False","unknown","50","4","4x500","2","50","500","Unavailable","0.0403 hourly","0.02614 hourly","0.077 hourly","0.14 hourly"
